KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
amino acid transport system y+/metabolism	b7-h1 antigen/antagonists &amp; inhibitors	3.68445434104636e-05	7.80564122443963e-05	0.0583845478489903	0.5011717509037	1	1	[31043744]
amino acid transport system y+/metabolism	cell line	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
amino acid transport system y+/metabolism	collagen type i/metabolism	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
amino acid transport system y+/metabolism	cysteine/metabolism	0.0002401445231134	0.0007043559873365	0.074074074074074	0.491090027111315	1	0	[31043744]
amino acid transport system y+/metabolism	fusion regulatory protein 1 heavy chain/metabolism	0.0002401445231134	0.0007043559873365	0.074074074074074	0.491090027111315	1	0	[31043744]
amino acid transport system y+/metabolism	hepatic stellate cells/drug effects	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
amino acid transport system y+/metabolism	hepatocytes/drug effects	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
amino acid transport system y+/metabolism	hypoxia-inducible factor 1 alpha subunit/metabolism	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
amino acid transport system y+/metabolism	interferon-gamma/immunology	0.0002401445231134	0.0007043559873365	0.074074074074074	0.491090027111315	1	0	[31043744]
amino acid transport system y+/metabolism	liver cirrhosis/drug therapy	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
amino acid transport system y+/metabolism	melanoma/genetics	0.0002401445231134	0.0007043559873365	0.074074074074074	0.491090027111315	1	0	[31043744]
amino acid transport system y+/metabolism	nivolumab/therapeutic use	0.0002401445231134	0.0007043559873365	0.074074074074074	0.491090027111315	1	0	[31043744]
amino acid transport system y+/metabolism	sorafenib/pharmacology	0.0009142822313443	0.0021059717799036	0.074074074074074	0.491090027111315	1	0	[34811833]
amp-activated protein kinase kinases	cell survival/drug effects	0.0049036293627228	0.0073431491104543	0.0441176470588235	0.5011717509037	1	1	[34093872]
amp-activated protein kinase kinases	glycogen synthase kinase 3/metabolism	0.0001529490570294	0.0002932546526832	0.0147058823529411	0.5011717509037	1	1	[34093872]
amp-activated protein kinase kinases	iron/chemistry	0.0001529490570294	0.0002932546526832	0.0147058823529411	0.5011717509037	1	1	[34093872]
amp-activated protein kinase kinases	lung neoplasms/drug therapy	0.0001529490570294	0.0002932546526832	0.0147058823529411	0.5011717509037	1	1	[34093872]
amp-activated protein kinase kinases	mitochondria/drug effects	0.0017679797262968	0.0028758762365795	0.0294117647058823	0.5011717509037	1	1	[34093872]
amp-activated protein kinase kinases	nf-e2-related factor 2/genetics	0.0001529490570294	0.0002932546526832	0.0147058823529411	0.5011717509037	1	1	[34093872]
amp-activated protein kinase kinases	oxidative stress/drug effects	0.0013669559477371	0.0022615358442826	0.0294117647058823	0.5011717509037	1	1	[34093872]
amp-activated protein kinase kinases	tor serine-threonine kinases/metabolism	0.0001529490570294	0.0002932546526832	0.0147058823529411	0.5011717509037	1	1	[34093872]
aniline compounds/chemistry	b7-h1 antigen/metabolism	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	benzylidene compounds/chemistry	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	cd8-positive t-lymphocytes/cytology	0.0004953033165658	0.0012925943513292	0.074074074074074	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	exosomes/metabolism	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	ferric compounds/chemistry	0.0015625643362536	0.0033615998331867	0.111111111111111	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	immunogenic cell death/drug effects	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	interferon-gamma/metabolism	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	metal-organic frameworks/chemistry	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	phenol/chemistry	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
aniline compounds/chemistry	programmed cell death 1 receptor/metabolism	1.37805787725487e-06	6.67173262777816e-06	0.037037037037037	0.491090027111315	1	0	[34985903]
